host,run,completed,last_step,train_hours,final128_wins,final128_win_rate,final128_return,latest_curve_step,latest_curve_win,env_steps_per_sec
jnin,actor2x256_nopeerres-2s3z-seed0,True,50000,1.556,26,0.203125,13.454389572143555,50000,0.21875,10.866839037194834
jnin,actor2x256_nopeerres-3m-seed0,True,50000,1.217,121,0.9453125,19.348886489868164,50000,1.0,13.553964311250137
jnin,base-2s3z-seed0,True,50000,1.63,14,0.109375,12.629901885986328,50000,0.09375,10.095480415549675
jnin,base-3m-seed0,True,50000,1.466,120,0.9375,19.197345733642578,50000,0.875,10.61649806810991
jnin,critic1l8h-2s3z-seed0,True,50000,1.59,1,0.0078125,10.825119018554688,50000,0.0,10.17494556555489
jnin,critic1l8h-3m-seed0,True,50000,1.258,113,0.8828125,18.526540756225586,50000,0.90625,13.278388038850352
jinn,entropy_annealed-2s3z-seed0,True,50000,1.469,2,0.015625,10.448165893554688,50000,0.0,10.63733668757754
jinn,entropy_annealed-3m-seed0,True,50000,1.252,123,0.9609375,19.533817291259766,50000,1.0,13.789002989585216
jnin,env16_total50k-2s3z-seed0,True,50000,1.405,23,0.1796875,13.118547439575195,50000,0.125,11.179703183776038
jnin,env16_total50k-3m-seed0,True,50000,1.049,117,0.9140625,18.911388397216797,50000,0.96875,15.103249972150806
jnin,wm_start5k_env16_actor2x256_nopeerres-2s3z-seed0,False,40000,0.999,,,,40000,0.0,11.984360302155403
jnin,wm_start5k_env16_critic1l8h-2s3z-seed0,False,35440,0.986,,,,35008,0.03125,8.93159984695385
jinn,wm_start5k_env16_entropy-2s3z-seed0,False,25008,0.984,,,,25008,0.125,0.19185044726896766
jnin,wm_start5k_env16_entropy_actor2x256_nopeerres-2s3z-seed0,False,38368,0.948,,,,35008,0.1875,12.604903759002934
jnin,wm_start5k_env16_entropy_critic1l8h-2s3z-seed0,False,35024,0.986,,,,35008,0.0,8.54027055158051
jinn,wm_start5k_env16_total50k-2s3z-seed0,False,26048,0.981,,,,25008,0.0,3.4312707399050018
jinn,wm_start5k_nowarmup-2s3z-seed0,True,50000,1.373,35,0.2734375,13.347618103027344,50000,0.28125,10.990793933766364
jinn,wm_start5k_nowarmup-3m-seed0,True,50000,1.374,124,0.96875,19.61472511291504,50000,1.0,5.198484427268466
