env,jepa_status,jepa_passed,jepa_world_model_passed,jepa_policy_main_passed,jepa_initial_return,jepa_trained_return,jepa_improvement,jepa_online_improvement,jepa_acceptance_rate,jepa_open_loop_loss,jepa_control_open_loop_loss,jepa_recent_validation_improvement,jepa_anchor_validation_degradation,ppo_best_return,ppo_last_return,ppo_best_steps,ppo_last_steps,ppo_last_length,jepa_minus_ppo_best
hopper,not_launched,,,,,,,,,,,,,346.988007,346.988007,7864320,7864320,122.453125,
inverted_double_pendulum,done,False,True,False,295.58111,317.512689,21.93158,-0.000236,0.0,0.046637,0.49762,-0.004882,0.028966,6279.938965,4911.929199,6553600,7864320,531.140625,-5962.426275
inverted_double_pendulum.nohup,not_launched,,,,,,,,,,,,,,,,,,
inverted_pendulum,crashed,,,,,,,,,,,,,1000.0,1000.0,1966080,7864320,1000.0,
inverted_pendulum.nohup,not_launched,,,,,,,,,,,,,,,,,,
pusher,done,False,True,False,-639.377704,-397.069459,242.308245,0.060965,1.0,0.070851,0.414505,0.001782,-0.016378,-303.369507,-425.237244,4915200,7864320,1000.0,-93.699952
pusher.nohup,not_launched,,,,,,,,,,,,,,,,,,
reacher,done,False,True,False,-678.326966,-39.592703,638.734263,0.0,1.0,0.029495,0.425159,0.000159,-0.001776,-28.239201,-28.239201,7864320,7864320,1000.0,-11.353503
reacher.nohup,not_launched,,,,,,,,,,,,,,,,,,
walker2d,not_launched,,,,,,,,,,,,,55.749382,55.749382,7864320,7864320,33.320312,
