env,iteration,label,phase,return,run_dir,source,step
reacher,1,reacher_seed0,actor_replay_collection,-49.20487567782402,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,jepa,196608
reacher,2,reacher_seed0,actor_replay_collection,-31.322851806879044,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,jepa,262144
reacher,3,reacher_seed0,actor_replay_collection,-28.61538341641426,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,jepa,327680
reacher,4,reacher_seed0,actor_replay_collection,-28.604161150753498,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,jepa,393216
reacher,5,reacher_seed0,actor_replay_collection,-27.78355497866869,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,jepa,458752
reacher,1,reacher_seed1,actor_replay_collection,-59.35128064453602,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,jepa,196608
reacher,2,reacher_seed1,actor_replay_collection,-30.649901866912842,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,jepa,262144
reacher,3,reacher_seed1,actor_replay_collection,-34.67568980157375,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,jepa,327680
reacher,4,reacher_seed1,actor_replay_collection,-31.866954162716866,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,jepa,393216
reacher,5,reacher_seed1,actor_replay_collection,-31.517644479870796,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,jepa,458752
