env,iteration,label,phase,reference_step,return,run_dir,source,step
reacher,0,reacher_seed0,initial_policy,,-528.8432068824768,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,jepa,0
reacher,0,reacher_seed0,initial_world_model_policy,,-54.812808871269226,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,jepa,131072
reacher,1,reacher_seed0,actor_replay_collection,,-49.20487567782402,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,jepa,196608
reacher,2,reacher_seed0,actor_replay_collection,,-31.322851806879044,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,jepa,262144
reacher,3,reacher_seed0,actor_replay_collection,,-28.61538341641426,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,jepa,327680
reacher,4,reacher_seed0,actor_replay_collection,,-28.604161150753498,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,jepa,393216
reacher,5,reacher_seed0,actor_replay_collection,,-27.78355497866869,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,jepa,458752
reacher,6,reacher_seed0,actor_replay_collection,,-29.398758716881275,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,jepa,524288
reacher,0,reacher_seed1,initial_policy,,-505.4768097400665,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,jepa,0
reacher,0,reacher_seed1,initial_world_model_policy,,-62.13594275712967,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,jepa,131072
reacher,1,reacher_seed1,actor_replay_collection,,-59.35128064453602,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,jepa,196608
reacher,2,reacher_seed1,actor_replay_collection,,-30.649901866912842,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,jepa,262144
reacher,3,reacher_seed1,actor_replay_collection,,-34.67568980157375,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,jepa,327680
reacher,4,reacher_seed1,actor_replay_collection,,-31.866954162716866,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,jepa,393216
reacher,5,reacher_seed1,actor_replay_collection,,-31.517644479870796,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,jepa,458752
reacher,6,reacher_seed1,actor_replay_collection,,-34.863057509064674,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,jepa,524288
reacher,,PPO,eval,,-75.1699447631836,runs/brax_ppo_reacher_1m_a100/reacher,ppo,0
reacher,,PPO,eval,,-64.73890686035156,runs/brax_ppo_reacher_1m_a100/reacher,ppo,81920
reacher,,PPO,eval,,-53.272239685058594,runs/brax_ppo_reacher_1m_a100/reacher,ppo,163840
reacher,,PPO,eval,,-53.02356719970703,runs/brax_ppo_reacher_1m_a100/reacher,ppo,245760
reacher,,PPO,eval,,-61.989776611328125,runs/brax_ppo_reacher_1m_a100/reacher,ppo,327680
reacher,,PPO,eval,,-55.828460693359375,runs/brax_ppo_reacher_1m_a100/reacher,ppo,409600
reacher,,PPO,eval,,-53.258506774902344,runs/brax_ppo_reacher_1m_a100/reacher,ppo,491520
reacher,,PPO,eval,,-59.58255386352539,runs/brax_ppo_reacher_1m_a100/reacher,ppo,573440
reacher,,PPO,eval,,-52.34747314453125,runs/brax_ppo_reacher_1m_a100/reacher,ppo,655360
reacher,,PPO,eval,,-57.68399429321289,runs/brax_ppo_reacher_1m_a100/reacher,ppo,737280
reacher,,PPO,eval,,-55.096412658691406,runs/brax_ppo_reacher_1m_a100/reacher,ppo,819200
reacher,,PPO,eval,,-58.30387878417969,runs/brax_ppo_reacher_1m_a100/reacher,ppo,901120
reacher,,PPO,eval,,-54.09394454956055,runs/brax_ppo_reacher_1m_a100/reacher,ppo,983040
reacher,,PPO,eval_interpolated_to_limit,,-53.67173723876476,runs/brax_ppo_reacher_1m_a100/reacher,ppo,1000000
reacher,,PPO full-run best,full_run_best_reference,1064960,-52.054603576660156,runs/brax_ppo_reacher_1m_a100/reacher,ppo_reference,1000000
